ID,ADDRESS,TYPE,BRANCH
237,台北市萬華區長沙街二段87號1樓,統一超商股份有限公司,新起
238,台北市萬華區中華路二段602-1、602-2號1樓,統一超商股份有限公司,中寧
239,台北市中正區黎明里忠孝西路一段35號一樓,統一超商股份有限公司,鑫台北
240,台北市文山區羅斯福路五段21號1樓,統一超商股份有限公司,新萬盛
241,台北市萬華區西園路二段140巷52號,統一超商股份有限公司,園舺
242,台北市信義區吳興街156巷2弄2號4號1樓,統一超商股份有限公司,三興
243,台北市中山區林森北路108號,統一超商股份有限公司,森北
244,台北市信義區正和里光復南路419巷41號,統一超商股份有限公司,仁和
245,台北市士林區延平北路五段134號,統一超商股份有限公司,葫蘆
246,台北市萬華區寶興街 43號45號1樓,統一超商股份有限公司,鑫寶
247,台北市士林區華齡街17巷2號4號1樓,統一超商股份有限公司,華齡
248,台北市士林區延平北路五段228號1樓230號1樓2樓,統一超商股份有限公司,葫東
249,台北市中正區羅斯福路三段316巷16號1樓,統一超商股份有限公司,羅館
250,台北市內湖區民權東路六段82號1樓,統一超商股份有限公司,民東
251,台北市大安區信義路三段178號1樓,統一超商股份有限公司,鑫復
252,台北市士林區德行東路6之2號1樓,統一超商股份有限公司,蘭雅
253,台北市大同區延平北路一段89號91號93號1樓,統一超商股份有限公司,延華
254,台北市北投區公館路259號1樓,統一超商股份有限公司,公岩
255,台北市內湖區成功路二段325號1樓,統一超商股份有限公司,國醫
256,台北市大安區信義路四段265巷12弄1號,統一超商股份有限公司,信義
257,台北市內湖區東湖路119巷49弄2號1樓,統一超商股份有限公司,鑫輝煌
258,台北市信義區虎林街222巷7號9號1樓,統一超商股份有限公司,信林
259,台北市文山區興隆路三段111號,統一超商股份有限公司,萬芳醫
260,台北市萬華區康定路203號205號1樓,統一超商股份有限公司,龍山
261,台北市中正區林森南路4號之3,統一超商股份有限公司,千成
262,台北市大安區仁愛路四段266巷15弄22號,統一超商股份有限公司,泰利
263,台北市信義區松隆路192號194號1樓,統一超商股份有限公司,松錢
264,台北市南港區興華路117號119號121號123號125號,統一超商股份有限公司,港興
265,台北市內湖區洲子街102號1樓,統一超商股份有限公司,瑞東
266,台北市內湖區新明路317號,統一超商股份有限公司,成美
267,台北市松山區南京東路四段133巷6弄1號,統一超商股份有限公司,東勢
268,台北市中山區明水路581巷15號1樓,統一超商股份有限公司,大永
269,台北市士林區延平北路五段269號271號1樓,統一超商股份有限公司,福陽
270,台北市萬華區萬大路245號247號1樓,統一超商股份有限公司,萬大
271,台北市士林區忠義街121號,統一超商股份有限公司,芝玉
272,台北市內湖區江南街128號,統一超商股份有限公司,瑞湖
273,台北市信義區基隆路一段398號1樓,統一超商股份有限公司,凱悅
274,台北市信義區吳興街284巷18弄2號,統一超商股份有限公司,吳興
275,台北市松山區八德路四段245巷35號,統一超商股份有限公司,影城
276,台北市南港區成福路145號147號,統一超商股份有限公司,新福玉
277,台北市內湖區康樂街213號,統一超商股份有限公司,瓏馬
278,台北市中山區長春路257號,統一超商股份有限公司,春龍
279,台北市松山區民生東路四段55巷10號,統一超商股份有限公司,東鑫
280,台北市中正區中華路二段157號,統一超商股份有限公司,萬光
281,台北市中山區民權東路二段26號,統一超商股份有限公司,勝權
282,台北市中山區北安路649號,統一超商股份有限公司,直安
283,台北市內湖區康寧路一段160號,統一超商股份有限公司,康雲
284,台北市北投區承德路七段378號,統一超商股份有限公司,立農
285,台北市文山區萬和街6號2樓之1,統一超商股份有限公司,萬美
286,台北市松山區寧安街3巷11號1樓,統一超商股份有限公司,新育商
287,台北市信義區基隆路一段333號B3,統一超商股份有限公司,國貿
288,台北市大同區重慶北路三段47號49號1樓,統一超商股份有限公司,慶吉
289,台北市內湖區瑞光路188巷51號1樓,統一超商股份有限公司,瑞富
290,台北市中山區合江街58巷1號1樓60號1樓60之1號1樓,統一超商股份有限公司,合江
291,台北市中正區館前路59號1樓,統一超商股份有限公司,興信鑫
292,台北市內湖區陽光街349號1樓,統一超商股份有限公司,樂陽
293,台北市內湖區東湖路120號1樓,統一超商股份有限公司,樂湖
294,台北市大安區金華街140號1樓,統一超商股份有限公司,金華
295,台北市松山區延吉街27-1號1樓,統一超商股份有限公司,吉仁
296,台北市南港區忠孝東路七段371號B2,統一超商股份有限公司,港環球
